subset,period_split,window,variant,sample_count,available_count,pending_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,validation,5,close,180,180,0,1.9928169701222456,1.352020630615658,8.616902227691762,1.557076984225723,0.4494894079958459,61.111111111111114
all,validation,5,t1,180,180,0,1.7223388985818733,0.9718427661574602,8.35253315185537,1.3400994479371684,0.3868533885036965,58.333333333333336
all,validation,5,t1_net,180,180,0,1.562338898581873,0.8118427661574602,8.35253315185537,1.2156083202929566,0.3509158954751436,57.77777777777777
all,validation,5,excess_csi300,180,180,0,1.6627213625254604,0.5462845911336833,7.559648809561745,2.32545642670898,0.6713014469745874,51.11111111111111
all,validation,5,excess_csi1000,180,180,0,1.5795351812356633,0.5665093216048911,7.2836477173276055,4.208383013913273,1.2148555329679385,53.888888888888886
all,validation,5,excess_eligible,180,180,0,0.8929198798006832,-0.3964621083629576,7.3014860616575294,2.2022650396956083,0.6357391567475807,47.77777777777778
all,validation,10,close,180,180,0,2.4094203618218417,1.3669026655774297,9.499732535717568,2.2854394164874123,0.6597495311627943,56.666666666666664
all,validation,10,t1,180,180,0,2.1430854689217687,1.4160497379920645,9.328656527977124,1.8798850324530272,0.5426760647661518,57.77777777777777
all,validation,10,t1_net,180,180,0,1.9830854689217685,1.2560497379920645,9.328656527977124,1.7395352379374522,0.502160568944014,57.22222222222222
all,validation,10,excess_csi300,180,180,0,1.5259699082094573,0.5528375523154105,8.883118080078953,2.028187083254996,0.5854871792420969,53.333333333333336
all,validation,10,excess_csi1000,180,180,0,1.2395412721351013,0.21900743221717756,8.738613667776239,2.1388223040865944,0.6174248165065854,50.55555555555556
all,validation,10,excess_eligible,180,180,0,0.555207677155942,-0.37771710119265567,8.664871108453571,1.1841144195551876,0.34182438944075255,46.666666666666664
all,validation,20,close,180,180,0,3.449237182295518,1.821209372577648,12.537797583426938,2.3793020755052208,0.6868453468881873,55.55555555555556
all,validation,20,t1,180,180,0,3.1762768006902307,1.5618177103410402,12.366158699125771,2.117947299021117,0.6113987216096414,55.55555555555556
all,validation,20,t1_net,180,180,0,3.016276800690231,1.4018177103410403,12.366158699125773,2.0112590003911808,0.580600462642953,55.00000000000001
all,validation,20,excess_csi300,180,180,0,1.834299418666833,-0.13696570589994406,11.784014004490064,1.8547146176550624,0.5354099918865421,49.44444444444444
all,validation,20,excess_csi1000,180,180,0,0.9536085391356142,-0.9953531810671379,11.690364244919346,1.0801886528818123,0.3118236047584468,43.888888888888886
all,validation,20,excess_eligible,180,180,0,0.7134704203659623,-1.0129722305829152,11.674554340305756,0.8260668893605773,0.23846497047048304,45.0
all_veto_passed,all,5,close,302,302,0,0.8921986742634588,0.5497508335192802,7.992573212389913,1.0252794453031397,0.21378554278214684,53.973509933774835
all_veto_passed,all,5,t1,302,302,0,0.7843627778057183,0.4965903668242011,7.703971114850455,0.8958951268700294,0.18680704743589283,52.317880794701985
all_veto_passed,all,5,t1_net,302,302,0,0.624362777805718,0.33659036682420107,7.703971114850455,0.7353654379669197,0.15333429341549643,51.65562913907284
all_veto_passed,all,5,excess_csi300,302,302,0,0.6597567300416356,-0.3041201000426874,6.970208238279335,1.1047756878566106,0.23036165521792293,47.35099337748344
all_veto_passed,all,5,excess_csi1000,302,302,0,0.9181286303837064,0.6031422329806302,6.570109026968808,2.5537566640532443,0.5324950744494121,54.966887417218544
all_veto_passed,all,5,excess_eligible,302,302,0,0.4657334499161758,-0.2104004514422544,6.672652324316185,0.9168994733330854,0.19118675643128877,49.00662251655629
all_veto_passed,all,10,close,302,302,0,1.2293813263102933,0.7362812678727293,9.780531709210392,1.2519731104997407,0.2610544395510668,53.31125827814569
all_veto_passed,all,10,t1,302,302,0,1.126330865380482,0.8156725293995803,9.585885747218281,1.0976326804638326,0.22887223521681244,54.3046357615894
all_veto_passed,all,10,t1_net,302,302,0,0.9663308653804821,0.6556725293995803,9.585885747218281,0.9501162867877312,0.19811294082562741,53.973509933774835
all_veto_passed,all,10,excess_csi300,302,302,0,0.6979881210910802,-0.1765420944075058,8.967632002843839,0.9777093289442502,0.20386648784294611,49.668874172185426
all_veto_passed,all,10,excess_csi1000,302,302,0,0.8200645787745663,-0.17606025629459676,8.627742198163286,1.4912527902996775,0.3109477017803151,48.675496688741724
all_veto_passed,all,10,excess_eligible,302,302,0,0.682232554346497,-0.2926758319952394,8.617677649282825,0.837543041840155,0.17463979661688,46.35761589403973
all_veto_passed,all,20,close,302,302,0,3.0934556740760994,0.5714197942800925,12.936116491424286,1.8222404690757081,0.37996340368041037,51.324503311258276
all_veto_passed,all,20,t1,302,302,0,3.0019191366919076,0.4340588147484725,12.92078471142437,1.6692954305414516,0.3480721585875031,51.324503311258276
all_veto_passed,all,20,t1_net,302,302,0,2.8419191366919074,0.2740588147484725,12.92078471142437,1.5616352054521903,0.325623449835763,50.993377483443716
all_veto_passed,all,20,excess_csi300,302,302,0,0.5793128216499142,-1.3057405967344615,11.641469567777508,0.5269533612230445,0.10987737135082919,43.377483443708606
all_veto_passed,all,20,excess_csi1000,302,302,0,0.23327197931415566,-1.2465432131669785,11.774909103270026,0.1314723384289083,0.027413877612217252,42.384105960264904
all_veto_passed,all,20,excess_eligible,302,302,0,0.8763284490756257,-0.9829780445806398,11.300655231910754,0.7750955235451632,0.1616185889302813,46.026490066225165
all_veto_passed,discovery,5,close,131,131,0,-0.32677961880091083,-0.41109969167524296,7.143032023816802,0.3560271890918105,0.10734623648931349,45.038167938931295
all_veto_passed,discovery,5,t1,131,131,0,-0.22671976616385245,-0.45000000000001705,6.853028074968162,0.3353342327312571,0.10110707539375405,45.038167938931295
all_veto_passed,discovery,5,t1_net,131,131,0,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
all_veto_passed,discovery,5,excess_csi300,131,131,0,-0.31749126547511125,-0.5510358991177022,6.332360610793038,0.15623493033350289,0.047106603914867685,44.274809160305345
all_veto_passed,discovery,5,excess_csi1000,131,131,0,0.5424705119002955,0.9042546304405374,6.099424743522151,1.2446025695076104,0.3752617941971791,58.01526717557252
all_veto_passed,discovery,5,excess_eligible,131,131,0,0.25042246640914445,0.07852754718875898,6.20358474714998,0.5676371290169465,0.17114903400216103,51.908396946564885
all_veto_passed,discovery,10,close,131,131,0,-0.019341693794179386,-0.5320092214931682,10.279686296798863,0.387283264274508,0.11677029774387228,48.854961832061065
all_veto_passed,discovery,10,t1,131,131,0,0.08476233416774437,0.0,10.0687361173023,0.3609595251688844,0.10883339177182144,49.61832061068702
all_veto_passed,discovery,10,t1_net,131,131,0,-0.07523766583225575,-0.16,10.0687361173023,0.2749164855242184,0.08289043919700037,49.61832061068702
all_veto_passed,discovery,10,excess_csi300,131,131,0,0.044581674980196315,-1.3240208007767147,9.400181752025802,0.33731885574009374,0.10170546174562833,45.038167938931295
all_veto_passed,discovery,10,excess_csi1000,131,131,0,0.7680970394722977,-0.3219735007697011,8.922992348067954,0.947616352459292,0.28571708057387707,47.32824427480916
all_veto_passed,discovery,10,excess_eligible,131,131,0,1.1465559695684011,-0.10887115765595157,8.84811752732734,0.9092711019739909,0.27415555254188284,47.32824427480916
all_veto_passed,discovery,20,close,131,131,0,2.50569312821798,-0.9287925696594312,13.268739638526638,0.8053611289217893,0.24282551685187434,45.80152671755725
all_veto_passed,discovery,20,t1,131,131,0,2.64766638413718,-0.700636942675148,13.454437165123162,0.7683285657450993,0.23165977893530956,45.80152671755725
all_veto_passed,discovery,20,t1_net,131,131,0,2.48766638413718,-0.860636942675148,13.454437165123162,0.7079055213821146,0.21344154558594416,45.80152671755725
all_veto_passed,discovery,20,excess_csi300,131,131,0,-0.9022564034729523,-1.987471913370742,11.139246237341101,-0.43440488055808196,-0.1309779996282101,35.87786259541985
all_veto_passed,discovery,20,excess_csi1000,131,131,0,-0.4267913794164565,-1.7237108623657682,11.773577309145432,-0.24835371394013436,-0.0748814622209712,41.98473282442748
all_veto_passed,discovery,20,excess_eligible,131,131,0,1.213432198710581,-0.5810220491429781,10.663445077907854,0.6117751394176876,0.18445714486507578,48.091603053435115
all_veto_passed,validation,5,close,171,171,0,1.8260358461431807,1.2062726176115923,8.489265374590255,1.0393343007504379,0.30002996915813834,60.81871345029239
all_veto_passed,validation,5,t1,171,171,0,1.5589347851742197,0.8989952406134316,8.232957468675567,0.8727783794890974,0.2519494161704579,57.89473684210527
all_veto_passed,validation,5,t1_net,171,171,0,1.3989347851742193,0.7389952406134316,8.232957468675567,0.7639549976273347,0.22053481176445078,57.30994152046783
all_veto_passed,validation,5,excess_csi300,171,171,0,1.408408703215284,-0.0583830658026363,7.3524437799697795,1.3784424860733406,0.3979220701984301,49.707602339181285
all_veto_passed,validation,5,excess_csi1000,171,171,0,1.2059135047774305,0.42033089354152064,6.912916129151424,2.8163184224032904,0.813001099649121,52.63157894736842
all_veto_passed,validation,5,excess_eligible,171,171,0,0.6306792910823814,-0.4452769216575452,7.024371562325772,0.7744718500204266,0.22357076554454042,46.783625730994146
all_veto_passed,validation,10,close,171,171,0,2.1860053943435442,1.3569937369519725,9.297434416043199,1.6003839528104018,0.46199105298092147,56.72514619883041
all_veto_passed,validation,10,t1,171,171,0,1.9242576349060299,1.3569937369519725,9.148555639251272,1.323763220431933,0.3821375258298513,57.89473684210527
all_veto_passed,validation,10,t1_net,171,171,0,1.7642576349060297,1.1969937369519725,9.148555639251272,1.1966729170071013,0.34544971538299235,57.30994152046783
all_veto_passed,validation,10,excess_csi300,171,171,0,1.198550954076611,0.5496022950626456,8.615965311570378,1.2702839752740367,0.3666993975358665,53.216374269005854
all_veto_passed,validation,10,excess_csi1000,171,171,0,0.8598759685324447,-0.028300074599596492,8.420779879127235,1.2462908081706496,0.3597731667929404,49.707602339181285
all_veto_passed,validation,10,excess_eligible,171,171,0,0.3265228035039856,-0.4749700583861235,8.445709407899367,0.10918394637791447,0.0315186904162373,45.614035087719294
all_veto_passed,validation,20,close,171,171,0,3.5437299051136053,1.7825311942958777,12.696136920401987,1.9979389894279462,0.5767553066853368,55.55555555555556
all_veto_passed,validation,20,t1,171,171,0,3.2733057482981605,1.3569937369519725,12.529746137084057,1.7952098967253494,0.5182324585631304,55.55555555555556
all_veto_passed,validation,20,t1_net,171,171,0,3.1133057482981608,1.1969937369519725,12.52974613708406,1.6958192924631645,0.48954086250028445,54.97076023391813
all_veto_passed,validation,20,excess_csi300,171,171,0,1.7143161461592444,-0.2024110882588137,11.919846050243402,1.4717077373535994,0.4248454291647779,49.122807017543856
all_veto_passed,validation,20,excess_csi1000,171,171,0,0.7389345523767885,-1.0447991760718645,11.785377160057232,0.7361853570124723,0.21251840702230587,42.69005847953216
all_veto_passed,validation,20,excess_eligible,171,171,0,0.6180793777178534,-1.0932274594228302,11.789995349106684,0.44751626027012315,0.12918681666684512,44.44444444444444
tier1_only,all,5,close,305,305,0,0.8988822919614728,0.5698005698005604,7.965981084070485,1.2223923178202218,0.2548864178981531,54.09836065573771
tier1_only,all,5,t1,305,305,0,0.7887054214352597,0.5141388174807249,7.680264749542151,1.0856107803629524,0.22636549576142473,52.459016393442624
tier1_only,all,5,t1_net,305,305,0,0.6287054214352595,0.35413881748072484,7.680264749542151,0.9137131665343621,0.1905223655361469,51.80327868852459
tier1_only,all,5,excess_csi300,305,305,0,0.7252684272194583,-0.2163649798522016,6.982614942553816,1.3934659698546994,0.290557740212726,47.868852459016395
tier1_only,all,5,excess_csi1000,305,305,0,1.0357826416838194,0.6264329288847792,6.660142730078941,2.8769227582306116,0.5998798632199194,55.40983606557377
tier1_only,all,5,excess_eligible,305,305,0,0.5662615627452446,-0.07169231986887736,6.732360050755357,1.1711401037659563,0.24419959251550014,49.50819672131148
tier1_only,all,10,close,305,305,0,1.2454893785949177,0.7531380753138084,9.74184488234359,1.3481768313822835,0.2811143020410005,53.442622950819676
tier1_only,all,10,t1,305,305,0,1.1399844759189404,0.8310249307479145,9.548691451086123,1.185182792012604,0.247127695427036,54.42622950819672
tier1_only,all,10,t1_net,305,305,0,0.9799844759189402,0.6710249307479145,9.548691451086123,1.0350346130355457,0.21581963586589795,54.09836065573771
tier1_only,all,10,excess_csi300,305,305,0,0.7478473430286547,-0.008592062464185535,8.947187920448973,1.0826196213688701,0.22574179599642208,49.8360655737705
tier1_only,all,10,excess_csi1000,305,305,0,0.8910149930864341,-0.11502861685716015,8.624850475191643,1.6176565385885098,0.3373047052893789,49.18032786885246
tier1_only,all,10,excess_eligible,305,305,0,0.7408904771866445,-0.21679055076659415,8.605537782781717,0.950492046499865,0.19819129214182923,46.885245901639344
tier1_only,all,20,close,305,305,0,3.092559942271628,0.5823912298732248,12.88268203887257,1.8617400761112628,0.38819964109691374,51.47540983606558
tier1_only,all,20,t1,305,305,0,2.9984831990927105,0.48000000000001375,12.868228148175927,1.7037415265681537,0.35525466611706463,51.47540983606558
tier1_only,all,20,t1_net,305,305,0,2.8384831990927104,0.3200000000000137,12.868228148175927,1.5956887814008023,0.33272411127123597,51.147540983606554
tier1_only,all,20,excess_csi300,305,305,0,0.6281961219639756,-1.1240267422404804,11.606837448611763,0.5714019896286424,0.11914555105846308,43.606557377049185
tier1_only,all,20,excess_csi1000,305,305,0,0.3130261027923027,-1.1442432534623403,11.75642749460749,0.17287348796567226,0.03604661404916491,42.950819672131146
tier1_only,all,20,excess_eligible,305,305,0,0.9368191511168338,-0.9570172768032852,11.274087693805168,0.8220096743536441,0.17140086559709697,46.22950819672131
tier1_only,discovery,5,close,131,131,0,-0.32677961880091083,-0.41109969167524296,7.143032023816802,0.3560271890918105,0.10734623648931349,45.038167938931295
tier1_only,discovery,5,t1,131,131,0,-0.22671976616385245,-0.45000000000001705,6.853028074968162,0.3353342327312571,0.10110707539375405,45.038167938931295
tier1_only,discovery,5,t1_net,131,131,0,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
tier1_only,discovery,5,excess_csi300,131,131,0,-0.31749126547511125,-0.5510358991177022,6.332360610793038,0.15623493033350289,0.047106603914867685,44.274809160305345
tier1_only,discovery,5,excess_csi1000,131,131,0,0.5424705119002955,0.9042546304405374,6.099424743522151,1.2446025695076104,0.3752617941971791,58.01526717557252
tier1_only,discovery,5,excess_eligible,131,131,0,0.25042246640914445,0.07852754718875898,6.20358474714998,0.5676371290169465,0.17114903400216103,51.908396946564885
tier1_only,discovery,10,close,131,131,0,-0.019341693794179386,-0.5320092214931682,10.279686296798863,0.387283264274508,0.11677029774387228,48.854961832061065
tier1_only,discovery,10,t1,131,131,0,0.08476233416774437,0.0,10.0687361173023,0.3609595251688844,0.10883339177182144,49.61832061068702
tier1_only,discovery,10,t1_net,131,131,0,-0.07523766583225575,-0.16,10.0687361173023,0.2749164855242184,0.08289043919700037,49.61832061068702
tier1_only,discovery,10,excess_csi300,131,131,0,0.044581674980196315,-1.3240208007767147,9.400181752025802,0.33731885574009374,0.10170546174562833,45.038167938931295
tier1_only,discovery,10,excess_csi1000,131,131,0,0.7680970394722977,-0.3219735007697011,8.922992348067954,0.947616352459292,0.28571708057387707,47.32824427480916
tier1_only,discovery,10,excess_eligible,131,131,0,1.1465559695684011,-0.10887115765595157,8.84811752732734,0.9092711019739909,0.27415555254188284,47.32824427480916
tier1_only,discovery,20,close,131,131,0,2.50569312821798,-0.9287925696594312,13.268739638526638,0.8053611289217893,0.24282551685187434,45.80152671755725
tier1_only,discovery,20,t1,131,131,0,2.64766638413718,-0.700636942675148,13.454437165123162,0.7683285657450993,0.23165977893530956,45.80152671755725
tier1_only,discovery,20,t1_net,131,131,0,2.48766638413718,-0.860636942675148,13.454437165123162,0.7079055213821146,0.21344154558594416,45.80152671755725
tier1_only,discovery,20,excess_csi300,131,131,0,-0.9022564034729523,-1.987471913370742,11.139246237341101,-0.43440488055808196,-0.1309779996282101,35.87786259541985
tier1_only,discovery,20,excess_csi1000,131,131,0,-0.4267913794164565,-1.7237108623657682,11.773577309145432,-0.24835371394013436,-0.0748814622209712,41.98473282442748
tier1_only,discovery,20,excess_eligible,131,131,0,1.213432198710581,-0.5810220491429781,10.663445077907854,0.6117751394176876,0.18445714486507578,48.091603053435115
tier1_only,validation,5,close,174,174,0,1.8216507420182102,1.2708503700783913,8.43641648944256,1.3744110456085235,0.3967582935796381,60.91954022988506
tier1_only,validation,5,t1,174,174,0,1.553192200604706,0.9192262215593217,8.184929590301921,1.172057085184515,0.33834373681844393,58.04597701149425
tier1_only,validation,5,t1_net,174,174,0,1.3931922006047057,0.7592262215593216,8.184929590301921,1.0477415714623413,0.3024569391624722,57.47126436781609
tier1_only,validation,5,excess_csi300,174,174,0,1.510334632638933,0.42594521282821596,7.35537806597498,1.9812230993052906,0.5719298448543071,50.57471264367817
tier1_only,validation,5,excess_csi1000,174,174,0,1.4071843026127944,0.5205031128499682,7.047490229268224,3.6250524903150745,1.0464625155549658,53.44827586206896
tier1_only,validation,5,excess_eligible,174,174,0,0.804048468607481,-0.3964621083629576,7.1129669621925204,1.3328554441473897,0.38476222473467686,47.701149425287355
tier1_only,validation,10,close,174,174,0,2.197747254933836,1.3669026655774297,9.232378090751475,1.844406978327032,0.5324344327161682,56.896551724137936
tier1_only,validation,10,t1,174,174,0,1.9344333297661052,1.4160497379920645,9.086274615673254,1.5174935228829762,0.4380626469649999,58.04597701149425
tier1_only,validation,10,t1_net,174,174,0,1.774433329766105,1.2560497379920645,9.086274615673254,1.383006217220479,0.3992395059015848,57.47126436781609
tier1_only,validation,10,excess_csi300,174,174,0,1.27731747242146,0.5528375523154105,8.579801103081289,1.5206237194452898,0.4389662568789341,53.44827586206896
tier1_only,validation,10,excess_csi1000,174,174,0,0.9835566708074217,0.21900743221717756,8.418230800000838,1.4879048142604148,0.42952112252089536,50.57471264367817
tier1_only,validation,10,excess_eligible,174,174,0,0.43547565246244835,-0.37771710119265567,8.431095428822598,0.30945043372039915,0.08933064560465946,46.55172413793103
tier1_only,validation,20,close,174,174,0,3.534396451702823,1.821209372577648,12.60472614863603,2.0856876327647154,0.6020861581110909,55.74712643678161
tier1_only,validation,20,t1,174,174,0,3.2626039046052075,1.5618177103410402,12.441458028761755,1.8697824938555794,0.5397597130767843,55.74712643678161
tier1_only,validation,20,t1_net,174,174,0,3.1026039046052083,1.4018177103410403,12.441458028761755,1.7690682588225393,0.5106860177230078,55.172413793103445
tier1_only,validation,20,excess_csi300,174,174,0,1.7804333681262607,-0.13696570589994406,11.84823636325503,1.5521941730213304,0.44807986181421694,49.42528735632184
tier1_only,validation,20,excess_csi1000,174,174,0,0.8700151267540698,-0.9953531810671379,11.74660773050724,0.8018410644222155,0.2314715771957311,43.67816091954023
tier1_only,validation,20,excess_eligible,174,174,0,0.7285645003422309,-1.0129722305829152,11.73901859860316,0.5226386015019386,0.15087276863301693,44.827586206896555
tier1_veto_passed,all,5,close,302,302,0,0.8921986742634588,0.5497508335192802,7.992573212389913,1.0252794453031397,0.21378554278214684,53.973509933774835
tier1_veto_passed,all,5,t1,302,302,0,0.7843627778057183,0.4965903668242011,7.703971114850455,0.8958951268700294,0.18680704743589283,52.317880794701985
tier1_veto_passed,all,5,t1_net,302,302,0,0.624362777805718,0.33659036682420107,7.703971114850455,0.7353654379669197,0.15333429341549643,51.65562913907284
tier1_veto_passed,all,5,excess_csi300,302,302,0,0.6597567300416356,-0.3041201000426874,6.970208238279335,1.1047756878566106,0.23036165521792293,47.35099337748344
tier1_veto_passed,all,5,excess_csi1000,302,302,0,0.9181286303837064,0.6031422329806302,6.570109026968808,2.5537566640532443,0.5324950744494121,54.966887417218544
tier1_veto_passed,all,5,excess_eligible,302,302,0,0.4657334499161758,-0.2104004514422544,6.672652324316185,0.9168994733330854,0.19118675643128877,49.00662251655629
tier1_veto_passed,all,10,close,302,302,0,1.2293813263102933,0.7362812678727293,9.780531709210392,1.2519731104997407,0.2610544395510668,53.31125827814569
tier1_veto_passed,all,10,t1,302,302,0,1.126330865380482,0.8156725293995803,9.585885747218281,1.0976326804638326,0.22887223521681244,54.3046357615894
tier1_veto_passed,all,10,t1_net,302,302,0,0.9663308653804821,0.6556725293995803,9.585885747218281,0.9501162867877312,0.19811294082562741,53.973509933774835
tier1_veto_passed,all,10,excess_csi300,302,302,0,0.6979881210910802,-0.1765420944075058,8.967632002843839,0.9777093289442502,0.20386648784294611,49.668874172185426
tier1_veto_passed,all,10,excess_csi1000,302,302,0,0.8200645787745663,-0.17606025629459676,8.627742198163286,1.4912527902996775,0.3109477017803151,48.675496688741724
tier1_veto_passed,all,10,excess_eligible,302,302,0,0.682232554346497,-0.2926758319952394,8.617677649282825,0.837543041840155,0.17463979661688,46.35761589403973
tier1_veto_passed,all,20,close,302,302,0,3.0934556740760994,0.5714197942800925,12.936116491424286,1.8222404690757081,0.37996340368041037,51.324503311258276
tier1_veto_passed,all,20,t1,302,302,0,3.0019191366919076,0.4340588147484725,12.92078471142437,1.6692954305414516,0.3480721585875031,51.324503311258276
tier1_veto_passed,all,20,t1_net,302,302,0,2.8419191366919074,0.2740588147484725,12.92078471142437,1.5616352054521903,0.325623449835763,50.993377483443716
tier1_veto_passed,all,20,excess_csi300,302,302,0,0.5793128216499142,-1.3057405967344615,11.641469567777508,0.5269533612230445,0.10987737135082919,43.377483443708606
tier1_veto_passed,all,20,excess_csi1000,302,302,0,0.23327197931415566,-1.2465432131669785,11.774909103270026,0.1314723384289083,0.027413877612217252,42.384105960264904
tier1_veto_passed,all,20,excess_eligible,302,302,0,0.8763284490756257,-0.9829780445806398,11.300655231910754,0.7750955235451632,0.1616185889302813,46.026490066225165
tier1_veto_passed,discovery,5,close,131,131,0,-0.32677961880091083,-0.41109969167524296,7.143032023816802,0.3560271890918105,0.10734623648931349,45.038167938931295
tier1_veto_passed,discovery,5,t1,131,131,0,-0.22671976616385245,-0.45000000000001705,6.853028074968162,0.3353342327312571,0.10110707539375405,45.038167938931295
tier1_veto_passed,discovery,5,t1_net,131,131,0,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
tier1_veto_passed,discovery,5,excess_csi300,131,131,0,-0.31749126547511125,-0.5510358991177022,6.332360610793038,0.15623493033350289,0.047106603914867685,44.274809160305345
tier1_veto_passed,discovery,5,excess_csi1000,131,131,0,0.5424705119002955,0.9042546304405374,6.099424743522151,1.2446025695076104,0.3752617941971791,58.01526717557252
